year,dayofwe´Ù,avg
1999,1,104.0165874
2000,1,105.8977472
2001,1,102.4804339
2002,1,105.0887171
1999,2,104.0921361
2000,2,105.8168839
2001,2,102.6030511
2002,2,105.2713067
1999,3,104.1349597
2000,3,105.8103091
2001,3,102.7164802
2002,3,105.084856
1999,4,104.1478447
2000,4,105.9651121
2001,4,103.0203534
2002,4,105.1853501
1999,5,104.0237313
2000,5,105.8336933
2001,5,102.9270526
2002,5,105.0987705
1999,6,107.5566591
2000,6,108.9035196
2001,6,105.4895443
2002,6,108.453677
1999,7,105.3751406
2000,7,107.2575184
2001,7,103.6442437
2002,7,106.5697587
